"","Pork Tenderloin","Aussie Chicken","Awesome Slow Cooker Pot Roast","Baked Salmon II","Ginger Glazed Mahi Mahi","Grilled Tofu Skewers with Sriracha Sauce","Grilled Vegetables with Balsamic Vinegar","Creamy Au Gratin Potatoes","Garlic Green Beans","Gourmet Sweet Potato Classic","Green Beans with Cherry Tomatoes","Roasted Brussels Sprouts","Roasted Garlic Lemon Broccoli","Double Layer Pumpkin Cheesecake","Fresh Pineapple Upside Down Cake","Peach and Blackberry Cobbler","Summer Fruit Galettes","Pasta with Tomato and Bocconcini","Couscous","Chunky Spiced Ground Beef Skillet Dinner"
"Cost",10.22006895875,8.387377779125,2.85458333333333,4.817850201,3.3454231771248,3.1765375,1.561201587625,2.83923755025,1.06606,0.9739406375625,1.21044656666667,1.12298340033333,0.518847289249867,0.25345,0.70783755025,4.6845708835,2.70075,4.45673755025,0.86,3.02128125
"Green Cost",7.713125,15.3536079545,0,8.7128,7.38178787881855,5.7868,3.27915,1.8409,0.36844,0.34665625,2.21349166666667,0.2863,0.0636222222540333,0.3736125,0.716425,6.5221,2.4071,3.4985125,0,1.6435
"CAL",325.247916666667,1490.6875,662.55,808.9625,552.358333343275,280.65,192.3,470.884375,353.0275,290.13125,122.978125,107.65,83.3107638955167,145.225,458.790625,711.29375,1087.34375,401.96875,88,231.60625
"Fat (g)",12.4552083333333,92.5875,43.3333333333333,60.14375,25.360937501125,18.65,14.125,25.378125,11.915,12.996875,7.65833333333333,6.75,2.17031250075,8.7625,19.85,25.025,41.65,15.134375,0,4.821875
"Na (mg)",575.755208333333,2589.96875,568.883333333333,1298.29375,354.5484375,640.225,306.34375,696.16875,542.0225,143.45546875,220.916666666667,415.583333333333,454.703645833333,82.8875,563.803125,1225.61875,820.8125,469.240625,4,37.796875
"carb (g)",2.05208333333333,62.675,4.08333333333333,0.0875,15.0890625,15.4,15.625,43.275,5.02,54.5171875,11.875,12,13.340625,14.71875,68.459375,118.6625,172.675,100.5875,18,12.01875
"Fiber (g)",0.423958333333333,1.3875,0.166666666666667,0.18125,0.078125,4.4,5.75,2.8,2.4725,3.2296875,4.16666666666667,4,5.3484375,0.44375,2.234375,5.8625,8.425,7.750625,1,3.565625
"Protein(g)",45.2270833333333,109.4625,59.4833333333333,61.7375,61.75625,13.425,3.75,18.9625,3.515,4.02109375,1.91666666666667,4,5.71145833333333,3.35625,5.49375,10.35625,9.8625,23.875,3,8.04375
"VA",0.00166666666666667,0.50375,0.003,0.025,0.025,0.59,0.32875,0.188828125,0.0931875,3.31403125,0.311041666666667,0.16,0.253333333333333,0.53128125,0.16278125,0.279875,0.09,4.293125,0,102.36875
"VC",0.0327604166666667,0.075375,0,0.0441875,0.012859375,2.29825,1.2575,0.36625,0.065675,0.309375,0.275583333333333,1.6,3.017015625,0.01075,0.3653125,0.325,1.9975,0.75253125,0,3.80759375
"Ca",0.0806875,1.657375,0.336166666666667,0.062875,0.05178125,0.2765,0.0313125,0.46325,0.09955,0.0342890625,0.0435,0.0401666666666667,0.0981145833333333,0.026625,0.09621875,0.5103125,0.074875,14.7591875,0.5,1.2644375
"Fe",0.132,0.1398125,0.317333333333333,0.1955,0.18445312500025,0.18825,0.0555625,0.249875,0.00765,0.055140625,0.0415,0.0816666666666667,0.0845000000001667,0.03634375,0.112125,0.29525,0.13525,23.1689375,1.5,4.01225
