"","0","0.05","0.85","0.9","0.95","1"
"Veg CAL Lower Limit: ",3400,3400,3400,3400,3400,3400
"Veg Fiber (g) Lower Limit: ",63.8920505817791,63.8920505817791,63.8920505817791,63.8920505817791,63.8920505817791,74.4661222520313
"Veg Protein(g) Lower Limit: ",99.9999999999998,100,100,100,100,99.9999999999999
"Veg VA Lower Limit: ",5.92539405932385,5.92539405932386,5.92539405932386,5.92539405932386,5.92539405932386,4.24221763482039
"Veg VC Lower Limit: ",7.58660826629231,7.58660826629231,7.58660826629231,7.58660826629231,7.58660826629231,30.5285095587629
"Veg Ca Lower Limit: ",1.99999999999999,2,2,2,2,2
"Veg Fe Lower Limit: ",2.49169464141971,2.49169464141973,2.49169464141973,2.49169464141973,2.49169464141973,2.40049299965999
"Veg Fat (g) Upper Limit: ",195,195,195,195,195,163.229007174895
"Veg Na (mg) Upper Limit: ",4941.8167927588,4941.8167927588,4941.8167927588,4941.8167927588,4941.8167927588,7182.13996618846
"Veg carb (g) Upper Limit: ",337.836469204431,337.836469204431,337.836469204431,337.836469204431,337.836469204431,436.087712714263
"Nonveg CAL Lower Limit: ",5277.5513057063,5277.55130570631,5547.91049832845,5547.91049832845,5609.66167073896,5100
"Nonveg Fiber (g) Lower Limit: ",74.9999999999996,75,75,75,75,75
"Nonveg Protein(g) Lower Limit: ",338.585796066817,338.585796066817,371.316585240063,371.316585240063,332.730076264655,355.588776216181
"Nonveg VA Lower Limit: ",8.85430636523946,8.85430636523949,8.97065445785329,8.97065445785329,176.645572987452,187.775919959872
"Nonveg VC Lower Limit: ",4.92502866033618,4.9250286603362,4.91302480589503,4.91302480589503,10.7584997095213,43.6565895402835
"Nonveg Ca Lower Limit: ",3,3,3,3,3.15585378979493,5.02052614034004
"Nonveg Fe Lower Limit: ",4.33434123694579,4.3343412369458,4.52567022308203,4.52567022308203,8.28076246176719,9.70436823900786
"Nonveg Fat (g) Upper Limit: ",292.499999999999,292.5,292.5,292.5,292.5,270.803360991803
"Nonveg Na (mg) Upper Limit: ",8221.27424196224,8221.27424196226,7107.58560980743,7107.58560980743,5609.79096376888,8521.65446495158
"Nonveg carb (g) Upper Limit: ",307.329809660903,307.329809660904,346.726841822963,346.726841822963,362.269878666779,289.787893483466
